,bird_en,bird_ru,desc_en,desc_ru,place_ru,place_en,size_ru,size_en
82,BLACK THROATED HUET,Черногорлый гид-гид,"The black-throated huet-huet Spanish pronunciation: , (Pteroptochos tarnii) is a species of bird in the family Rhinocryptidae. It is found in southern/central Chile and adjacent western Argentina. Its natural habitat is temperate forest.","Черногорлый гид-гид, или черногорлый хьют-хьют, или птица-лайка (лат. Pteroptochos tarnii), — вид птиц из семейства топаколовых (Rhinocryptidae). Подвидов не выделяют. Распространены в Чили и Аргентине.Черногорлый гид-гид — птица среднего размера, длиной до 25 см; самцы немного тяжелее самок и весят от 155 до 184 г, тогда как самки — от 150 до 179 г. Верхняя часть тела от сланцево- до дымчато-чёрного цвета. Лоб, макушка, верхняя часть хвоста рыжие. Большая часть головы, шея, горло и верхняя часть груди чёрноватые. Брюхо рыжеватое с мелкими чёрными поперечными полосками. Клюв и ноги черноватые.",,,,
83,BLACK THROATED WARBLER,Синеспинный лесной певун,"The black-throated blue warbler (Setophaga caerulescens) is a small passerine bird of the New World warbler family. Its breeding ranges are located in the interior of deciduous and mixed coniferous forests in eastern North America. Over the cooler months, it migrates to islands in the Caribbean and Central America. It is very rarely found in western Europe, where it is considered to be a non-indigenous species. The black-throated blue warbler is sexually dimorphic; the adult male has a black face and cheeks, deep blue upperparts and white underparts, while the adult female is olive-brown above and light yellow below.

Predominantly insectivorous, the black-throated blue warbler supplements its diet with berries and seeds in winter. It builds its nests in thick shrubs and the closeness of its nesting sites to the ground make it a favored species for the study of warbler behavior in the wild. The black-throated blue warbler defends its territory against other birds of the same species for both nesting and winter habitats. As the black-throated blue warbler requires large, unbroken forest areas for nesting, its numbers are declining.The black-throated blue warbler measures 13 cm (5.1 in) in length and weighs 8.4–12.4 g (0.30–0.44 oz). Wingspan ranges from 7.5-7.9 in (19-20 cm). This is a strongly sexually dimorphic bird. The adult male has white underparts with a black throat, face and flanks. The upperparts are deep blue. The immature male is similar, but with greener upperparts. The female has olive-brown upperparts and light yellow underparts with darker wings and tail, gray crown and brown patches on the cheek. Both sexes have a thin pointed bill and small white wing patches which are not always visible. Like many other warbler species, it has colorful plumage during the spring and summer. However, outside the breeding season its plumage is drab and less distinctive. In the fall, the black-throated blue warbler can be distinguished by its small white wing patches. Juveniles have brown upperparts with a creamy supercilium and brownish spots on the throat, the breast and the belly.

The bird's song can be described as a buzzed zee-zee-zeeee with an upward inflection. Its call is a flat ctuk.","Синеспи́нный лесно́й певу́н (лат. Setophaga caerulescens) — насекомоядная птица семейства древесницевых.У самцов синеспинного лесного певуна на нижней стороне оперение белое, горло, лицо и бока чёрные. Верхняя сторона тёмно-синего цвета. У самок оливково-коричневая верхняя сторона с тёмными перьями крыльев и хвоста, и светло-жёлтая нижняя сторона, кроме того, серая макушка на голове. Под глазом у самки белый полукруг глазницы, над глазом белая полоса. Ещё не половозрелые молодые самцы похожи на взрослых самцов, только оперение верхней стороны у них зеленоватое. У обоих полов имеются белые пятна на крыльях, которые тем не менее не всегда заметны. Ноги, глаза и маленький тонкий острый клюв чёрного цвета.",,,,
84,BLACK VENTED SHEARWATER,Черный буревестник,"The black-vented shearwater (Puffinus opisthomelas) is a species of seabird. The bird is 30–38 cm in length with a 76–89 cm wingspan. Formerly considered a subspecies of the Manx shearwater, its actual taxonomic relationships are unresolved.

This species is pelagic, occurring in the Pacific Ocean and the Gulf of California. It comes closer to land than most other shearwaters, so it can sometimes be seen from shore. It nests predominantly on offshore islands off north and western Baja California, namely Isla Natividad (ca. 95% of the nesting population), Isla de Guadalupe, and Islas San Benito. It is fairly common off the United States coast of central and southern California during the country's colder months.

The black-vented shearwater is thought to feed on mainly small fish. This bird nests in burrows and caves; it is a colonial nester.

In the past, this bird had been threatened by feral cats and other predators on its breeding islands, but the problem seems to have been largely eliminated. There is some loss of birds from commercial gill netting, and the species is classified as near threatened by the IUCN mainly due to the uncertain impact on it by the expanding fishing industry.","Черный буревестник ( Puffinus opisthomelas ) — вид морских птиц . Длина птицы 30–38 см, размах крыльев 76–89 см . Ранее считавшийся подвидом мэнского буревестника , его фактические таксономические отношения не установлены. 

Этот вид является пелагическим , встречается в Тихом океане и Калифорнийском заливе . Он подходит ближе к суше, чем большинство других буревестников , поэтому иногда его можно увидеть с берега.  Он гнездится преимущественно на прибрежных островах у северной и западной части Нижней Калифорнии , а именно на Исла-Нативидад (около 95% гнездящейся популяции), Исла-де-Гуадалупе и Ислас-Сан-Бенито .  Это довольно распространено у побережья Соединенных Штатов в центральной и южной Калифорнии в холодные месяцы страны.

Считается, что буревестник с черным отверстием питается в основном мелкой рыбой . Гнездится эта птица в норах и пещерах ; это колониальный гнездо.

В прошлом этой птице угрожали дикие кошки и другие хищники на ее гнездовых островах,   , но проблема, похоже, в значительной степени устранена. Существует некоторая потеря птиц из-за коммерческой жаберной сети , и этот вид классифицируется МСОП как находящийся под угрозой исчезновения , в основном из-за неопределенного воздействия на него расширяющейся рыбной промышленности.",,,,
85,BLACK VULTURE,Американская чёрная катарта,"The black vulture (Coragyps atratus), also known as the American black vulture, Mexican vulture, zopilote, urubu, or gallinazo, is a bird in the New World vulture family whose range extends from the northeastern United States to Perú, Central Chile and Uruguay in South America. Although a common and widespread species, it has a somewhat more restricted distribution than its compatriot, the turkey vulture, which breeds well into Canada and all the way south to Tierra del Fuego. It is the only extant member of the genus Coragyps, which is in the family Cathartidae. Despite the similar name and appearance, this species is unrelated to the Eurasian black vulture, an Old World vulture, of the family Accipitridae (which includes raptors like the eagles, hawks, kites, and harriers). For ease of locating animal corpses (their main source of sustenance), black vultures tend to inhabit relatively open areas with scattered trees, such as chaparral, in addition to subtropical forested areas and parts of the Brazilian pantanal.The black vulture is a fairly large scavenger, measuring 56–74 cm (22–29 in) in length, with a 1.33–1.67 m (52–66 in) wingspan. Weight for black vultures from North America and the Andes ranges from 1.6 to 3 kg (3.5 to 6.6 lb) but in the smaller vultures of the tropical lowlands it is 1.18–1.94 kg (2.6–4.3 lb). 50 vultures in Texas were found to average 2.15 kg (4.7 lb) while 119 birds in Venezuela were found to average 1.64 kg (3.6 lb). The extended wing bone measures 38.6–45 cm (15.2–17.7 in), the shortish tail measures 16–21 cm (6.3–8.3 in) and the relatively long tarsus measures 7–8.5 cm (2.8–3.3 in). Its plumage is mainly glossy black. The head and neck are featherless and the skin is dark gray and wrinkled. The iris of the eye is brown and has a single incomplete row of eyelashes on the upper lid and two rows on the lower lid. The legs are grayish white, while the two front toes of the foot are long and have small webs at their bases.","Американская чёрная катарта, или урубу́, или американский чёрный гриф (лат. Coragyps atratus), — вид птиц семейства американских грифов. единственный представитель рода Coragyps. Обитают в тёплом умеренном и тропическом климате Северной и Южной Америки.Крупная птица длиной 50—69 см и размахом крыльев 137—152 см, масса 1,1—1,9 кг. Оперение большей части тела чёрное, за исключением нижней части маховых перьев крыльев, на которых имеются большие белые пятна. На голове и верхней части шеи перья отсутствуют, кожа в этом месте выглядит сильно сморщенной, тёмно-серого цвета. Клюв длинный, относительно слабый, тёмный, на конце загнут вниз. Крылья широкие, длинные. Лапы толстые, тёмно-серые, приспособлены скорее для бега по земле, чем для сидения на ветке. Хвост короткий, клинообразный. В полёте плавно парит в небе. Половой диморфизм не выражен, то есть самки внешне не отличаются от самцов. Молодые особи морфологически похожи на более зрелых птиц.",,,,
86,BLACK-CAPPED CHICKADEE,Черношапочная гаичка,"The black-capped chickadee (Poecile atricapillus) is a small, non-migratory, North American songbird that lives in deciduous and mixed forests. It is a passerine bird in the tit family, the Paridae. It is the state bird of Massachusetts and Maine in the United States, and the provincial bird of New Brunswick in Canada. It is well known for its ability to lower its body temperature during cold winter nights, its good spatial memory to relocate the caches where it stores food, and its boldness near humans (sometimes feeding from the hand).The black-capped chickadee has a black cap and ""bib"" with white sides to the face. Its underparts are white with rusty brown on the flanks. Its back is gray and the tail is normally slate gray. This bird has a short dark beak of 8–9.5 mm (0.31–0.37 in), short, rounded wings 63.5–67.5 mm (2.50–2.66 in), a tarsus of 16–17 mm (0.63–0.67 in), and a long tail at 58–63 mm (2.3–2.5 in). Its total body length is 12–15 cm (4.7–5.9 in), wingspan is 16–21 cm (6.3–8.3 in), and body mass is 9–14 g (0.32–0.49 oz). Sexes look alike, but males are slightly larger and longer than females.","Черношапочная гаичка (лат. Poecile atricapillus) — небольшая птичка из семейства синицевых, обитающая в Северной Америке.Небольшая птичка около 13 см в длину. Легко выделяется своим маленьким пухлым телом, большой чёрной шапочкой на голове, чёрным пятном на горле, и белыми щёчками. Верхняя часть тела и крылья тёмные зеленовато-серые, с белыми и чёрными полосками. Грудка по бокам тёмно-жёлтая, в середине беловатая. Клюв и лапки тёмные, преимущественной чёрные. По окраске самцы и самки не отличаются друг от друга.",,,,
87,BLACK-NECKED GREBE,Черношейная поганка,"The black-necked grebe or eared grebe (Podiceps nigricollis) is a member of the grebe family of water birds. It was described in 1831 by Christian Ludwig Brehm. There are currently three accepted subspecies, including the nominate subspecies. Its breeding plumage features a distinctive ochre-coloured plumage which extends behind its eye and over its ear coverts. The rest of the upper parts, including the head, neck, and breast, are coloured black to blackish brown. The flanks are tawny rufous to maroon-chestnut, and the abdomen is white. When in its non-breeding plumage, this bird has greyish-black upper parts, including the top of the head and a vertical stripe on the back of the neck. The flanks are also greyish-black. The rest of the body is a white or whitish colour. The juvenile has more brown in its darker areas. The subspecies californicus can be distinguished from the nominate by the former's usually longer bill. The other subspecies, P. n. gurneyi, can be differentiated by its greyer head and upper parts and by its smaller size. P. n. gurneyi can also be told apart by its lack of a non-breeding plumage. This species is present in parts of Africa, Eurasia, and the Americas.The black-necked grebe usually measures between 28 and 34 centimetres (11 and 13 in) in length and weighs 265 to 450 grams (9.3 to 15.9 oz). The bird has a wingspan range of 20.5-21.6 in (52-55 cm). The nominate subspecies in breeding plumage has the head, neck, breast, and upper parts coloured black to blackish brown, with the exception of the ochre-coloured fan of feathers extending behind the eye over the eye-coverts and sides of the nape. This eye is mostly red, with a narrow and paler yellow ring on the inner parts of the eye and an orange-yellow to pinkish-red orbital ring. The thin, upturned bill, on the other hand, is black, and is connected to the eye by a blackish line starting at the gape. Sometimes, the foreneck can be found to be mostly tinged brown. The upperwing is blackish to drab brown in colour and has a white patch formed by the secondaries and part of the inner primaries. The flanks are coloured tawny rufous to maroon-chestnut and have the occasional blackish fleck. The underwing and abdomen is white, with an exception to the former being the dark tertials and the mostly pale grey-brown outer primaries. The legs are a dark greenish grey. The sexes are similar.","Черношейная поганка (лат. Podiceps nigricollis) — водоплавающая птица из семейства поганковых, размером с голубя.Размером чуть меньше красношейной поганки. Длина тела достигает 28—34 см, масса 250—600 г. Весной и летом голова и шея чёрные, за глазами пучки перьев золотистого цвета, торчащие назад и книзу. Зимой отличается слегка вздёрнутым тёмно-серым клювом, серой шапочкой, заходящей ниже уровня глаз, и серой спереди шеей. Туловище сверху чёрно-бурое, бока тела рыжие, с тёмными пестринами, низ тела – белый. В полёте видны тёмные концы крыльев.",,,,
88,BLACK-THROATED SPARROW,Чернозобый воробей,"The black-throated sparrow (Amphispiza bilineata) is a small New World sparrow primarily found in the southwestern United States and Mexico. It is the only member of the genus Amphispiza; the five-striped sparrow, formerly also classified in Amphispiza, is now thought to be in the monotypic genus Amphispizopsis.

It is sometimes referred to as the desert sparrow, due to its preferred habitat of arid desert hillsides and scrub. This name usually refers to the desert sparrow of Africa and Asia.The black-throated sparrow is pale gray above, with a distinctive black and white head pattern. Immature birds are similar but lack a black throat. Its call is high and bell-like, and its song is a fairly simple, mechanical tinkling. It feeds primarily on insects and seeds, and travels in small groups, though larger groups may accumulate around sources of water in the desert.

It has a loose nest of grass twigs and plant fibers carefully hidden in brush 6–18 inches (15–46 cm) above the ground. Three or four white or pale blue eggs are laid.","Чернозобый воробей ( Amphispiza bilineata ) — небольшой воробей Нового Света, в основном обитающий на юго-западе США и в Мексике . Это единственный представитель рода Amphispiza ; пятиполосый воробей , ранее также относящийся к Amphispiza , теперь считается принадлежащим к монотипному роду Amphispizopsis . 

Его иногда называют пустынным воробьем из-за его предпочтительной среды обитания на засушливых пустынных склонах и кустарниках. Это название обычно относится к пустынному воробью Африки и Азии.Чернозобый воробей сверху бледно-серый, с характерным черно-белым рисунком на голове. Неполовозрелые птицы похожи, но не имеют черного горла. Его крик высокий и похожий на колокольчик, а его песня представляет собой довольно простое механическое звяканье. Он питается в основном насекомыми и семенами и путешествует небольшими группами, хотя большие группы могут собираться вокруг источников воды в пустыне.

У него есть рыхлое гнездо из веточек травы и растительных волокон, тщательно спрятанных в кустах на высоте 6–18 дюймов (15–46 см) над землей. Откладывают три-четыре белых или бледно-голубых яйца.",,,,
89,BLACKBURNIAM WARBLER,Еловый лесной певун,"The Blackburnian warbler (Setophaga fusca) is a small New World warbler. They breed in eastern North America, from southern Canada, westwards to the southern Canadian Prairies, the Great Lakes region and New England, to North Carolina.

Blackburnian warblers are migratory, wintering in southern Central America and in South America, and are very rare vagrants to western Europe.Blackburnian warblers are small passerines and average-sized wood-warblers. They measure around 11 to 13 cm (4.3 to 5.1 in) long, with a 20 to 22 cm (7.9 to 8.7 in) wingspan, and weigh 8 to 13 g (0.28 to 0.46 oz). The average mass of an adult bird is 9.7 g (0.34 oz), although is slightly higher in fall due to fat reserves, averaging 10.2–10.4 g (0.36–0.37 oz). Among standard measurements, the wing chord is 6.3 to 7.3 cm (2.5 to 2.9 in), the tail is 4.2 to 5 cm (1.7 to 2.0 in), the bill is 0.9 to 1 cm (0.35 to 0.39 in) and the tarsus is 1.6 to 1.8 cm (0.63 to 0.71 in).","Ело́вый лесно́й певу́н (лат. Setophaga fusca) — вид птиц семейства древесницевых.На голове, горле и на груди оперение ярко оранжевое. Оперение спины и кроющие перья от серо-чёрного до серо-бурого с белыми пятнами на крыльях. Оперение нижней стороны имеет желтоватый цвет с чёрными полосами по бокам. В противоположность самцу самка окрашена менее ярко и имеет более матовую оранжевую окраску на голове и груди. Молодые птицы имеют похожее оперение как и у взрослых самок.",,,,
90,BLONDE CRESTED WOODPECKER,Белохохлый дятел,"The blond-crested woodpecker (Celeus flavescens) is a species of bird in subfamily Picinae of the woodpecker family Picidae. It is found in Argentina, Brazil, and Paraguay.The blond-crested woodpecker is about 27 to 30 cm (11 to 12 in) long. The nominate subspecies weighs 110 to 165 g (3.9 to 5.8 oz). Males of both subspecies have a wide bright red malar area and cheek; sometimes it extends around the eye and occasionally includes the lower forehead; females have black streaks instead of red on the malar and check and no red elsewhere. In the nominate subspecies, adults of both sexes have a pale creamy buff to yellowish white head including the long, pointed crest, chin, and throat. Often the side of the neck has black streaks. The adults have a black mantle and upper back with a buffish white to pale yellow lower back, rump, and uppertail coverts; the coverts sometimes have black bars. Their flight feathers are black with narrow white bars and some have white tips. Their wing coverts are barred black and white. Their tail feathers are black with whitish edges or bars on the outermost pair. Their lower neck and underparts are black with a hint of pale barring on the flanks and undertail coverts. Their thighs are pale yellow to buffish with black spots or streaks. The adult's bill is horn-colored or sometimes blue-gray to black with a paler mandible, their iris red or red-brown, and their legs blue-gray. Juveniles are similar to adults but are duller and have more black on their face. Subspecies C. f. intercedens is whitish to buff-white on the head and lower back, and sometimes has some rufous in the flight feathers.","Белохохлый дятел ( Celeus flavescens ) — вид птиц из подсемейства Picinae семейства дятловых Picidae. Встречается в Аргентине , Бразилии и Парагвае .Длина белокурого дятла составляет от 27 до 30 см (от 11 до 12 дюймов). Номинальный подвид весит от 110 до 165 г (от 3,9 до 5,8 унций). У самцов обоих подвидов широкие ярко-красные скулы и щеки; иногда он распространяется вокруг глаза и иногда включает нижнюю часть лба; у самок черные полосы вместо красных на скулах и щеках и нет красных в других местах. У номинального подвида взрослые особи обоих полов имеют голову от бледно-кремового до желтовато-белого цвета, включая длинный заостренный гребень, подбородок и горло. Часто сбоку на шее имеются черные полосы. У взрослых особей черная мантия и верхняя часть спины с охристо-белой или бледно-желтой нижней частью спины, крупом и кроющими надхвостья .; кроющие иногда имеют черные полосы. Их маховые перья черные с узкими белыми полосами, а некоторые имеют белые кончики. Их кроющие крыла покрыты черно-белыми полосами. Их хвостовые перья черные с беловатыми краями или полосами на самой внешней паре. Их нижняя часть шеи и нижняя часть тела черные с оттенком бледной полосы на боках и подхвостье. Их бедра от бледно-желтого до охристого цвета с черными пятнами или полосами. Клюв взрослых особей окрашен в цвет рога или иногда от сине-серого до черного с более бледной нижней челюстью , радужная оболочка красная или красно-коричневая, а ноги серо-голубые. Молодые особи похожи на взрослых, но более тусклые и имеют больше черного на лице. Подвид С. f. intercedens имеет цвет от беловатого до желтовато-белого на голове и нижней части спины, а иногда и с рыжими маховыми перьями.",,,,
91,BLOOD PHEASANT,Итагин,"The blood pheasant (Ithaginis cruentus), also known as blood partridge, is the only species in genus Ithaginis of the pheasant family. It is a relatively small, short-tailed pheasant that is widespread and is fairly common in eastern Himalayas, ranging across India, Nepal, Bhutan, China, and northern Myanmar. Since the trend of the population appears to be slowly decreasing, the species has been evaluated as of least concern on the IUCN Red List in 2009.

The blood pheasant was the national bird of the former Kingdom of Sikkim, and remains the state bird of Sikkim.The blood pheasant has the size of a small fowl, about 17 in (43 cm) in length with a short, convex, very strong black bill, feathered between bill and eye, and a small crest of variously coloured feathers. The colour of the plumage above is dark ash, with white shafts, the coverts of the wings various tinged with green, with broad strokes of white through the length of each feather, the feathers of the chin deep crimson; on the breast, belly, and sides, feathers are lance-shaped, of various length, the tips green with crimson margins, collectively resembling dashes of blood scattered on the breast and belly. The tail consists of 12 subequal feathers, shafts white, rounded, the ends whitish, the coverts a rich crimson red.","Итагин, или кровавый фазан, или сермун (лат. Ithaginis cruentus) — вид птиц семейства фазановых, единственный вид рода Ithaginis. Распространён исключительно в Восточной Азии.Самец кровавого фазана достигает длины от 44 до 48 см. Самки несколько меньше и достигают длины от 40 до 42 см. Масса — от 410 до 620 г.

Оперение очень мягкое, у птиц обоего пола также имеется хохол, который у самки немного короче. Хвост относительно короткий для фазанов, ступенчатый, состоящий из 14 перьев. Клюв короткий и сильно согнут вниз. Клюв чёрный с красным основанием. Голая кожа за глазами красная, во время размножения у самца принимает ярко-красный цвет. Ноги длинные по сравнению с телом и сильные. Их цвет ярко-красный.",,,,
92,BLUE COAU,Синий коау,At this moment there no info about this bird,На данный момент нет информации о птице,,,,
93,BLUE DACNIS,Синий дакнис,"The blue dacnis or turquoise honeycreeper (Dacnis cayana) is a small passerine bird. This member of the tanager family is found from Nicaragua to Panama, on Trinidad, and in South America south to Bolivia and northern Argentina. It is widespread and often common, especially in parts of its South American range.The blue dacnis is 12.7 cm long and weighs 13 g. Despite its alternative name, it is not a honeycreeper, which are longer-billed. The adult male is turquoise blue with a black around the eyes, and on the throat and back. The wings and tail are black, edged with turquoise. The female and immature are mainly green with a blue head, paler green underparts and green-edged brown wings. The blue dacnis's call is a thin tsip.",Синий дакнис (лат. Dacnis cayana) — птица из семейства танагровых (Thraupidae).У вида присутствует выраженный половой диморфизм. У самцов бирюзовое и чёрное оперение. Самки напротив окрашены преимущественно в зелёный и серый цвет. Они достигают длины от 10 до 12 см. Пение птиц напоминает тихое шептание.,,,,
94,BLUE GRAY GNATCATCHER,Голубая комароловка,"The blue-gray gnatcatcher or blue-grey gnatcatcher (Polioptila caerulea) is a very small songbird native to North America.It is 10–13 cm (3.9–5.1 in) in length, 6.3 in (16 cm) in wingspan, and weighing only 5–7 g (0.18–0.25 oz). Adult males are blue-gray on the upperparts with white underparts, slender dark bill, and a long black tail edged in white. Females are less blue, while juveniles are greenish-gray. Both sexes have a white eye ring.","Голубая комароловка (лат. Polioptila caerulea) — певчая птица из семейства комароловковых, обитающая в Северной Америке.Голубая комароловка длиной 12 см. Окрас оперения верхней части тела голубовато-серый, нижняя часть тела окрашена в белый цвет. Клюв длинный, тонкий, глазные кольца белые, хвост длинный, чёрный с белыми внешними перьями. Самец бледнее чем самка, а летом у него чёрные «брови».",,,,
95,BLUE GROSBEAK,Голубая гуирака,"The blue grosbeak (Passerina caerulea), is a medium-sized North American passerine bird in the cardinal family Cardinalidae. It is mainly migratory, wintering in Central America and breeding in northern Mexico and the southern United States. The male is blue with two brown wing bars. The female is mainly brown with scattered blue feathers on the upperparts and two brown wing bars.The male blue grosbeak is deep blue, with both black and brown on its wings. The female is mostly brown. Both sexes are distinguished by their large, deep bill and double wing bars. These features, as well as the grosbeak's relatively larger size, distinguish this species from the indigo bunting. Length can range from 14 to 19 cm (5.5 to 7.5 in) and wingspan is from 26 to 29 cm (10 to 11 in). Body mass is typically from 26 to 31.5 g (0.92 to 1.11 oz).","Голубая гуирака (лат. Passerina caerulea) — североамериканская певчая птица семейства кардиналовых (Cardinalidae). Некоторые авторы присоединяют вид к семейству овсянковых (Emberizidae).У тёмно-синего самца на крыльях коричневые полоски, чёрное лицо и конусообразный клюв, у самки верхняя сторона тёмно-коричневая, а нижняя сторона бледнее, на крыльях полоски кремового цвета.",,,,
96,BLUE GROUSE,Голубой тетерев,"the blue grouse (Dendragapus obscurus), a big, dark bird, plainer and longer-tailed than the spruce grouse and heavier than the ruffed grouse.","Голубой тетерев (лат. Dendrapagus obscurus) — североамериканская птица семейства фазановых (Phasianidae), населяющая леса североамериканских Скалистых гор.

Длина тела от 39 до 53 см. Окраска самца тёмно-серого или голубовато-зелёного цвета. Он имеет жёлто-оранжевый или красный гребни выше глаз и жёлты пятна на шее, окружённые белыми перьями. Грудь и брюхо серо-белые. Отсутствует чёрное пятно на груди, характерное для канадской дикуши. Чёрный хвост заканчивается серой полосой. Подхвостье белое. У самцов, обитающих в Скалистых горах отсутствует серая полоса, а голое пятно на шее красное.

Самки и молодые птицы коричневые и серые в крапинку, и имеют тёмный хвост. В отличие от канадской дикуши им не хватает яркой нижней части тела.

Ареал простирается на юг от юго-восточной Аляски и Северо-Западных территорий Канады до Калифорнии, Аризоны, Колорадо и Нью-Мексико. Голубой тетерев живёт в лесах и полянах с жёлтой сосной и псевдотсугой. После сезона размножения, птица откочёвывает в более высокогорные хвойные леса и зимует на высоте до 3600 метров над уровнем моря.

Зимой тетерев питается почти исключительно хвоей, в основном сосновой. Летом питание дополняют насекомые, семена и ягоды.

В брачный период самец издаёт низкие звуки, слышимые издалека. Он расправляет хвост и перья шеи, демонстрируя яркие цветные пятна шеи и раздувает гребни над глазами. Гнездо представляет собой ямку на земле, устланную хвоей и травой, которая скрыта под кустом, деревом или камнем. В кладке 5—10 кремово-белых яиц с бурыми пятнами.",,,,
97,BLUE HERON,Большая голубая цапля,"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as far northwestern South America, the Caribbean and the Galápagos Islands. It is a rare vagrant to coastal Spain, the Azores, and areas of far southern Europe. An all-white population found in south Florida and the Florida Keys is known as the great white heron. Debate exists about whether this represents a white color morph of the great blue heron, a subspecies of it, or an entirely separate species.The great blue heron is the largest heron native to North America. Among all extant herons, it is surpassed in size only by the goliath heron (Ardea goliath) and the white-bellied heron (Ardea insignis). It exhibits a minor degree of sexual dimorphism; with males slightly larger than females, but otherwise the sexes are not easily outwardly distinguishable. It has head-to-tail length of 91–137 cm (36–54 in), a wingspan of 167–201 cm (66–79 in), a height of 115–138 cm (45–54 in), and a weight of 1.82–3.6 kg (4.0–7.9 lb). In British Columbia, adult males averaged 2.48 kg (5.5 lb) and adult females 2.11 kg (4.7 lb). In Nova Scotia and New England, adult herons of both sexes averaged 2.23 kg (4.9 lb), while in Oregon, both sexes averaged 2.09 kg (4.6 lb) Thus, great blue herons are roughly twice as heavy as great egrets (Ardea alba), although only slightly taller than them, but they weigh only about half as much as a large goliath heron.","Большая голубая цапля ( Ardea herodias ) -- крупная болотная птица семейства цапель Ardeidae , распространенная у берегов открытой воды и в заболоченных местах на большей части территории Северной и Центральной Америки , а также на крайнем северо - западе Южной Америки , Карибского бассейна и Галапагосские острова . Это редкий залет в прибрежную Испанию, на Азорские острова и в районы далекого юга Европы. Полностью белая популяция, обитающая на юге Флориды и Флорида-Кис , известна как большая белая цапля.. Ведутся споры о том, представляет ли это морфу белого цвета большой голубой цапли, ее подвид или совершенно отдельный вид.  Большая голубая цапля — самая крупная цапля, обитающая в Северной Америке. Среди всех существующих цапель ее по размерам превосходят только цапля -голиаф ( Ardea goliath ) и белобрюхая цапля ( Ardea insignis ). Он проявляет незначительную степень полового диморфизма ; при этом самцы немного крупнее самок, но в остальном пол внешне трудно различим. У него длина от головы до хвоста 91–137 см (36–54 дюйма), размах крыльев 167–201 см (66–79 дюймов), высота 115–138 см (45–54 дюйма) и вес 1,82–3,6 кг (4,0–7,9 фунта).     В Британской Колумбии, взрослые самцы в среднем весили 2,48 кг (5,5 фунта), а взрослые самки - 2,11 кг (4,7 фунта).  В Новой Шотландии и Новой Англии взрослая цапля обоих полов в среднем весила 2,23 кг (4,9 фунта),  в то время как в Орегоне средний вес обоих полов составлял 2,09 кг (4,6 фунта) . такие же тяжелые, как большие белые цапли ( Ardea alba ), хотя лишь немного выше их, но они весят примерно вдвое меньше, чем большая цапля-голиаф. ",,,,
98,BLUE MALKOHA,Желтоклювая кукушка,"The blue malkoha or chattering yellowbill (Ceuthmochares aereus) is a species of cuckoo in the family Cuculidae. It was formerly conspecific with the green malkoha until split in 2016. It is widely distributed across the African tropical rainforest.The blue malkoha has a greyish belly, head and throat and a heavy yellow bill but subspecies display some differences in plumage colouration. C. aereus aereus has a greenish and blue tail, wings and back, while C. aereus flavirostris has a blue tail, wings and back.

The blue malkoha feeds primarily on insects, particularly caterpillars, beetles, grasshoppers and crickets; it will also take frogs, slugs, fruit, seeds and leaves. It moves through the tangled vegetation with a series of small hops, snatching prey as it travels. It will accompany other birds and squirrels, taking the insects flushed by them.

Unlike some other cuckoos the blue malkoha is not a brood parasite, instead it cares for its own young. Two white and creamy eggs are laid in a nest that is a rough mass of sticks suspended around 2–5 m above the ground. Both parents care for the young.

The blue malkoha is an uncommon species and rarely observed due to its secretive behaviour. However it is not considered threatened, and is listed as least concern by the IUCN.","Желтоклювая кукушка (лат. Ceuthmochares aereus) — один из видов кукушек в семействе Cuculidae. Этот ранее составлял монотипический род Ceuthmochares, в настоящее время его разделили на два вида собственно Ceuthmochares aereus и обитающий восточней C. australis. Эту форму ранее рассматривали как подвид желтоклювой кукушки, но с 2005 года её выделили в отдельный вид. .

Вид Ceuthmochares aereus подразделён на два подвида, которые демонстрируют некоторые различия в окраске оперения; для всех подвидов характерны сероватый цвет живота, головы и горла, но для С. aereus aereus свойственны зеленовато-голубой хвост, крылья и спина, а у С. aereus flavirostris синий хвост, крылья и спина. Для всех подвидов характерен тяжёлый жёлтый клюв, благодаря которому и появилось имя этого вида.Длина тела желтоклювой кукушки достигает 33 сантиметров, из них на рулевые перья хвоста приходится около 20 сантиметров. Крепкий клюв длиной около 2,4 сантиметра. Самцы в среднем весят 62 грамма, самки немного тяжелее — 68,5 граммов.

Выраженного полового диморфизма нет: у номинальной формы и самцы, и самки имеют темно-зеленый темя и затылок. ""Уздечка"", то есть область между клювом и глазом, зеленовато-серая. Спина, крылья, верхние кроющие хвоста и рулевые блестящие тёмно-серые. Подбородок и горло умеренно серые. Грудь серая, живот тоже серый, переходящий в черное подхвостье. Длинные рулевые перья с нижней стороны блестящие, фиолетовые.

Радужка красная или темно-бордовая, у молодых птиц коричневая. Кольцо вокруг глаза, в целом, жёлтое, перед глазом приобретает зеленоватый оттенок. Сильный клюв ярко-жёлтый и чернеет, особенно у основания клюва. Ноги чёрные.

Молодые особи напоминают взрослых птиц, но в целом более тусклые. Верхняя сторона тела у них цвета сажи. Грудь темно-серая с коричневатыми кончиками перьев.",,,,
